budget	eps	target	goal	poison	target_loss_reinit	target_acc_reinit	target_loss_rerun	target_acc_rerun	brewed_loss	optim	iter	loss	tau	centreg	normreg	repel	init	pbatch	ens	vruns	pshuffle	paugment	step	full_data	stagger	maxepoch	nadapt	data_aug	epochs	lr	poison_loss	restarts	step_decay	ablation	benchmark_idx	target_mloss_reinit	target_macc_reinit	target_mloss_rerun	target_macc_rerun	target_clean_loss_reinit	target_clean_acc_reinit	target_clean_loss_rerun	target_clean_acc_rerun	train_time	brew_time	test_time	train_loss_reinit	val_loss_reinit	train_acc_reinit	val_acc_reinit	train_loss_rerun	val_loss_rerun	train_acc_rerun	val_acc_rerun	train_loss_clean	val_loss_clean	train_acc_clean	val_acc_clean	poisonkey	modelkey	net	vnet	ARG_net	ARG_dataset	ARG_recipe	ARG_threatmodel	ARG_scenario	ARG_poisonkey	ARG_modelkey	ARG_deterministic	ARG_eps	ARG_budget	ARG_targets	ARG_patch_size	ARG_name	ARG_table_path	ARG_poison_path	ARG_data_path	ARG_modelsave_path	ARG_mixing_method	ARG_mixing_disable_correction	ARG_mixing_strength	ARG_disable_adaptive_attack	ARG_defend_features_only	ARG_gradient_noise	ARG_gradient_clip	ARG_defense_type	ARG_defense_strength	ARG_defense_steps	ARG_defense_targets	ARG_filter_defense	ARG_padversarial	ARG_pmix	ARG_attackoptim	ARG_attackiter	ARG_init	ARG_tau	ARG_scheduling	ARG_target_criterion	ARG_restarts	ARG_load_patch	ARG_pbatch	ARG_pshuffle	ARG_paugment	ARG_data_aug	ARG_full_data	ARG_ensemble	ARG_stagger	ARG_step	ARG_max_epoch	ARG_ablation	ARG_loss	ARG_centreg	ARG_normreg	ARG_repel	ARG_nadapt	ARG_clean_grad	ARG_vruns	ARG_vnet	ARG_retrain_from_init	ARG_skip_clean_training	ARG_pretrained_model	ARG_pretrain_dataset	ARG_optimization	ARG_epochs	ARG_lr	ARG_noaugment	ARG_lmdb_path	ARG_cache_dataset	ARG_benchmark	ARG_benchmark_idx	ARG_dryrun	ARG_save	ARG_local_rank	val_acc_base_clean	val_acc_target_clean	val_acc_base_rerun	val_acc_target_rerun	val_acc_base_reinit	val_acc_target_reinit
0.01	16	whale	maple_tree	maple_tree	0.773953914642334	0.0			0.2348453402519226	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	40	0.1	cross-entropy	8	True	1.0	0	2.0584882013499737	0.725			0.6255202293395996	1.0			0:45:17.971185	0:31:27.941386	0:47:20.303616	0.20624412925880584	1.0558282046378413	0.94794	0.7294729472947294					0.2154331188982405	1.0284437439109706	0.94554	0.7260726072607261	3570170386	435716984	ResNet18		['ResNet18']	CIFAR100	gradient-matching	single-class	from-scratch			False	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative			False		False		0	False			0.64	0.6868686868686869			0.04	0.696969696969697
0.01	16	wardrobe	keyboard	keyboard	0.00328465667553246	1.0			0.2577088475227356	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	160	0.1	cross-entropy	8	True	1.0	0	0.7839124236692442	0.8125			5.784300327301025	0.0			4:08:11.754575	0:46:08.194014	5:07:25.856434	0.014074879690118686	0.9702879130085812	0.99926	0.7631763176317632					0.014531756958464528	0.9577804449238355	0.99902	0.7681768176817682	844773562	1491051156	ResNet18		['ResNet18']	CIFAR100	gradient-matching	single-class	from-scratch			False	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	160		False		False		0	False			0.93	0.9292929292929293			0.32	0.9595959595959596
0.01	16	beetle	forest	forest	0.7396813631057739	1.0			0.23691874742507935	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	5	0.1	cross-entropy	8	True	1.0	0	3.6563865900039674	0.2			4.562986850738525	0.0			0:07:34.566310	0:46:21.949000	0:07:39.212050	2.666983186131548	2.6477804636653466	0.32304	0.32733273327332735					2.4759528454002515	2.4216744718672354	0.3594	0.3694369436943694	3675138949	582752756	ResNet18		['ResNet18']	CIFAR100	gradient-matching	single-class	from-scratch			False	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	5		False		False		0	False			0.45	0.40404040404040403			0.18	0.21212121212121213
0.01	16	cloud	skunk	skunk	4.6958818435668945	0.0			0.5285294651985168	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	1	0.1	cross-entropy	8	True	1.0	0	4.6958818435668945	0.0			4.644958972930908	0.0			0:02:09.184271	1:15:39.235700	0:01:40.915204	4.619813293447275	4.515196504472177	0.01898	0.0268026802680268					4.642270577228283	4.562327523774739	0.0153	0.021802180218021803	2352948320	2759072243	ResNet18		['ResNet18']	CIFAR100	gradient-matching	single-class	from-scratch			False	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	1		False		False		0	False			0.0	0.020202020202020204			0.0	0.0
0.01	16	bowl	dolphin	dolphin	3.576278118089249e-07	1.0			0.24452871084213257	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	250	0.1	cross-entropy	8	True	1.0	0	0.33559498377402347	0.96			18.34490394592285	0.0			6:50:59.019561	1:06:24.571309	6:26:43.293318	0.010381337600614866	0.9489364669292788	0.99948	0.7692769276927692					0.010693145899192603	0.9034184836134126	0.99928	0.7774777477747775	2356911648	2133581286	ResNet18		['ResNet18']	CIFAR100	gradient-matching	single-class	from-scratch			False	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	250		False		False		0	False			0.71	0.5555555555555556			0.05	0.5252525252525253
